facilityid,total2019count,Jan19,Feb19,Mar19,Apr19,May19,Jun19,Jul19,Aug19,Sep19,Oct19,Nov19,Dec19,total2019people,Jan19people,Feb19people,Mar19people,Apr19people,May19people,Jun19people,Jul19people,Aug19people,Sep19people,Oct19people,Nov19people,Dec19people
232490,49315,,,5081.0,6541.0,7187.0,6497.0,6349.0,6735.0,6147.0,2218.0,2556.0,4.0,155762.0,,,15871.0,19844.0,21280.0,22116.0,23501.0,24394.0,16836.0,5284.0,6612.0,24.0
232447,35774,714.0,740.0,1638.0,3498.0,5466.0,4212.0,4522.0,4928.0,4706.0,1463.0,2679.0,1208.0,133442.0,2346.0,2783.0,6773.0,13359.0,19223.0,17463.0,19620.0,20217.0,16503.0,4348.0,7443.0,3364.0
232445,24676,,28.0,2318.0,3264.0,3458.0,3312.0,3732.0,3689.0,3149.0,727.0,999.0,,90634.0,,63.0,8109.0,11362.0,11800.0,13732.0,16005.0,14246.0,10048.0,2357.0,2912.0,
234704,17215,388.0,1222.0,1916.0,2091.0,2068.0,2082.0,2041.0,1471.0,1270.0,1023.0,1024.0,619.0,53034.0,912.0,2716.0,5746.0,6113.0,6478.0,7578.0,7733.0,4992.0,3518.0,2839.0,2763.0,1646.0
232463,17119,,,,,1256.0,2926.0,4255.0,4332.0,4157.0,193.0,,,53540.0,,,,,4050.0,9935.0,14749.0,13653.0,10686.0,467.0,,
232508,15616,,,,,1656.0,3037.0,3822.0,3795.0,2993.0,313.0,,,46754.0,,,,,4741.0,9171.0,12374.0,12138.0,7559.0,771.0,,
272266,15100,,,1310.0,1670.0,2062.0,1941.0,2102.0,2010.0,2043.0,1018.0,944.0,,45958.0,,,4373.0,4842.0,5964.0,6203.0,7010.0,6264.0,5520.0,2959.0,2823.0,
232487,14696,,,847.0,1434.0,2514.0,2955.0,2256.0,1874.0,1827.0,989.0,,,45011.0,,,2434.0,3569.0,7770.0,10870.0,7628.0,5637.0,4721.0,2382.0,,
272300,14635,1098.0,1386.0,2093.0,2375.0,2438.0,426.0,,229.0,1528.0,565.0,905.0,1592.0,49875.0,4083.0,4475.0,7068.0,8904.0,8022.0,1386.0,,942.0,5052.0,1572.0,2965.0,5406.0
232507,13587,2.0,,331.0,1590.0,2085.0,2487.0,2466.0,2588.0,2020.0,11.0,7.0,,52651.0,9.0,,1028.0,5766.0,7826.0,9949.0,10356.0,10316.0,7236.0,98.0,67.0,
232451,13215,,,,1270.0,2436.0,2349.0,2395.0,2321.0,1997.0,447.0,,,50270.0,,,,4417.0,8454.0,9672.0,10167.0,9397.0,7217.0,946.0,,
232461,12824,,,,,855.0,2889.0,3064.0,3496.0,2520.0,,,,47648.0,,,,,2927.0,10948.0,12585.0,13425.0,7763.0,,,
232769,12169,,,,,1286.0,2824.0,2698.0,2867.0,2355.0,139.0,,,42834.0,,,,,4533.0,10270.0,10088.0,10140.0,7320.0,483.0,,
232446,11781,1.0,8.0,15.0,1468.0,2461.0,2070.0,1710.0,1935.0,1927.0,171.0,11.0,4.0,44416.0,30.0,147.0,259.0,4851.0,8330.0,8211.0,7365.0,7961.0,6415.0,607.0,181.0,59.0
233359,11391,366.0,489.0,948.0,1198.0,1302.0,1451.0,1444.0,1564.0,1197.0,371.0,524.0,537.0,50547.0,1476.0,1953.0,3855.0,5290.0,6282.0,7084.0,6994.0,7029.0,5351.0,1250.0,1970.0,2013.0
234015,10564,312.0,442.0,1160.0,1588.0,1318.0,1294.0,1147.0,1102.0,932.0,245.0,622.0,402.0,42874.0,1232.0,1635.0,4742.0,6461.0,5630.0,5155.0,4643.0,4922.0,3982.0,828.0,2349.0,1295.0
