facilityid,activlist
232490,"['BIKING', 'CAMPING', 'WILDLIFE VIEWING', 'PHOTOGRAPHY', 'HORSE CAMPING', 'RANGER STATION', 'STAR GAZING']"
232447,['CAMPING']
232445,"['BIKING', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'HIKING', 'VISITOR CENTER', 'SWIMMING SITE', 'PHOTOGRAPHY', 'STAR GAZING', 'EVENING PROGRAMS']"
234704,"['BIKING', 'BOATING', 'HISTORIC & CULTURAL SITE', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'HIKING', 'VISITOR CENTER', 'WATER SPORTS', 'SWIMMING SITE']"
232463,"['BIKING', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'FISHING', 'HIKING', 'HORSEBACK RIDING', 'PICNICKING', 'VISITOR CENTER', 'WILDLIFE VIEWING', 'WILDERNESS', 'SWIMMING', 'RANGER STATION', 'KAYAKING', 'CANOEING', 'EVENING PROGRAMS', 'GUIDED INTERPRETIVE WALKS', 'SCENIC DRIVE', 'BACKPACKING', 'MOUNTAIN CLIMBING', 'AMPHITHEATER', 'SNOWSHOEING', 'SKIING']"
232508,"['CAMPING', 'INTERPRETIVE PROGRAMS', 'HIKING', 'DAY USE AREA', 'RANGER STATION']"
272266,"['CAMPING', 'HIKING', 'DAY USE AREA']"
232487,"['HISTORIC & CULTURAL SITE', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'FISHING', 'HIKING', 'WILDLIFE VIEWING']"
272300,"['CLIMBING', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'HIKING', 'WILDLIFE VIEWING', 'DAY USE AREA']"
232507,"['BIKING', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'FISHING', 'HIKING', 'SWIMMING', 'KAYAKING', 'CANOEING', 'BEACHCOMBING', 'CLAM DIGGING', 'CRABBING', 'SURFING', 'BIRDING', 'WINDSURFING', 'WILD HORSE VIEWING']"
232451,['CAMPING']
232461,"['CAMPING', 'INTERPRETIVE PROGRAMS', 'HIKING', 'VISITOR CENTER', 'OTHER RECREATION CONCESSION SITE']"
232769,"['BIKING', 'BOATING', 'HISTORIC & CULTURAL SITE', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'FISHING', 'HIKING', 'VISITOR CENTER', 'WATER SPORTS', 'WILDLIFE VIEWING', 'SWIMMING SITE']"
232446,['CAMPING']
233359,"['BIKING', 'BOATING', 'HISTORIC & CULTURAL SITE', 'CAMPING', 'FISHING', 'HIKING', 'VISITOR CENTER', 'SWIMMING SITE']"
234015,"['CLIMBING', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'HIKING', 'VISITOR CENTER', 'WILDLIFE VIEWING', 'DAY USE AREA', 'OTHER RECREATION CONCESSION SITE']"
232250,"['BIKING', 'BOATING', 'CAMPING', 'INTERPRETIVE PROGRAMS', 'FISHING', 'HIKING', 'VISITOR CENTER', 'WATER SPORTS', 'INFORMATION SITE', 'RANGER STATION', 'PADDLE BOATING', 'CANOEING', 'STAR GAZING', 'BACKPACKING']"
232489,"['CAMPING', 'VISITOR CENTER']"
232639,"['CAMPING', 'FISHING', 'WILDLIFE VIEWING', 'SWIMMING SITE']"
232254,"['BIKING', 'BOATING', 'CAMPING', 'FISHING', 'HIKING', 'HORSEBACK RIDING', 'DAY USE AREA', 'SWIMMING SITE']"
232449,['CAMPING']
232458,"['BIKING', 'CAMPING', 'FISHING', 'HIKING', 'PICNICKING', 'VISITOR CENTER', 'WILDLIFE VIEWING', 'DAY USE AREA', 'PHOTOGRAPHY', 'PADDLING', 'SWIMMING', 'RANGER STATION', 'KAYAKING', 'CANOEING', 'BIRDING', 'WATER ACCESS', 'EVENING PROGRAMS', 'AMPHITHEATER']"
