facilityid,attriblist
2733.0,"['Placed on Map_0', 'Equipment Mandatory_0', 'Min Num of Vehicles_0']"
2991.0,"['Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Pull-Through', 'Driveway Grade_Moderate', 'Driveway Surface_Gravel', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Shade_Yes', 'Placed on Map_0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Tent Pad Size_small', 'Min Num of Vehicles_0']"
2994.0,"['Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Moderate', 'Driveway Surface_Gravel', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_small', 'Shade_Yes', 'Placed on Map_0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Tent Pad Size_large', 'Min Num of Vehicles_0']"
2743.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Moderate', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_0', 'Site Access_Drive-In', 'Condition Rating_Good', 'Min Num of People_single', 'Capacity/Size Rating_Single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Min Num of Vehicles_1.0', 'Drinking Water_Y', 'Paved Parking_Y', 'Location Rating_Good', 'Showers_Y', 'Concessions Gifts_Y', 'Emergency Phone_Y', 'Entrance Station_Y', 'Paved Roads_Y', 'Ice_Y', 'Toilets_Y', 'Trailheads_Y', 'Amphitheater_Y', 'Firewood Vender_Y', 'Laundry Facilities_Y', 'Kennel_Y', 'Wireless Internet_Y', 'Visitor Center_Y']"
2907.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Severe', 'Driveway Surface_Gravel', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Tent Pad Size_small', 'Min Num of People_single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Tent Pad_Y', 'Min Num of Vehicles_0']"
2554.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Slight', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Condition Rating_Good', 'Tent Pad Size_large', 'Food Locker_Y', 'Min Num of People_single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Tent Pad_Y', 'Min Num of Vehicles_0']"
2739.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_0', 'Site Access_Drive-In', 'Condition Rating_Good', 'Min Num of People_single', 'Capacity/Size Rating_Single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Min Num of Vehicles_1.0', 'Drinking Water_Y', 'Paved Parking_Y', 'Location Rating_Good', 'Showers_Y', 'Concessions Gifts_Y', 'Emergency Phone_Y', 'Entrance Station_Y', 'Paved Roads_Y', 'Ice_Y', 'Toilets_Y', 'Trailheads_Y', 'Amphitheater_Y', 'Firewood Vender_Y', 'Laundry Facilities_Y', 'Kennel_Y', 'Wireless Internet_Y', 'Visitor Center_Y']"
2782.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Pull-Through', 'Driveway Grade_Slight', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_large', 'Pets Allowed_Yes', 'Shade_Full', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Condition Rating_Good', 'Min Num of People_single', 'Capacity/Size Rating_Single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Min Num of Vehicles_1.0', 'Location Rating_Good']"
2576.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Surface_Paved', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Proximity to Water_Oceanfront', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Tent Pad Size_small', 'Capacity/Size Rating_Single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Double Driveway_Y', 'Min Num of Vehicles_0']"
2931.0,"['Campfire Allowed_Yes', 'Checkin Time_early', 'Checkout Time_early', 'Driveway Entry_Back-In', 'Driveway Grade_Slight', 'Driveway Surface_Gravel', 'Max Num of People_small', 'Max Num of Vehicles_small', 'Max Vehicle Length_large', 'Pets Allowed_Yes', 'Shade_Yes', 'Placed on Map_1.0', 'Equipment Mandatory_True', 'Site Access_Drive-In', 'Tent Pad Size_small', 'Min Num of People_single', 'Grills BBQ Fire_Y', 'Tables_Y', 'Tent Pad_Y', 'Min Num of Vehicles_0']"
