Zip,City,State,Latitude,Longitude,relevantFacilities
55795,Willow River,MN,46.317811999999996,-92.84315,"[233588, 233620]"
45388,Yorkshire,OH,40.328534999999995,-84.47938,[]
39483,Foxworth,MS,31.218509,-89.90760999999999,[]
31503,Waycross,GA,31.205194,-82.37534000000001,"[250860, 253730, 251903]"
45833,Delphos,OH,40.841409000000006,-84.34178,[]
34611,Spring Hill,FL,28.564166999999998,-82.416515,"[233920, 234513, 234031, 234032, 234033]"
95717,Gold Run,CA,39.177026,-120.8451,"[232254, 232888, 231953, 232769, 247867, 232858, 232869, 234172, 234544, 232767, 251445, 232349, 234382, 232137, 251446, 234135, 232915, 232186, 232871]"
98849,Riverside,WA,48.528793,-119.45276000000001,"[234673, 234064, 233143, 252036]"
36201,Anniston,AL,33.658803000000006,-85.85178,"[232606, 232683, 232513]"
80126,Littleton,CO,39.544548999999996,-104.96808,"[231856, 231875, 232463, 232340, 232368, 233731, 233185, 234512, 234686, 231862]"
48907,Lansing,MI,42.596071,-84.838206,[]
85228,Coolidge,AZ,32.967828999999995,-111.52617,"[266136, 267559, 232284, 250033, 233222, 272097]"
13758,East Pharsalia,NY,42.583518,-75.72193100000001,[]
76061,Lillian,TX,32.502674,-97.16346999999999,"[232620, 234703, 232641, 232651, 233125, 233170, 234628, 232602, 232600, 234533, 232637, 232622, 232583, 232607, 232547]"
5448,East Fairfield,VT,44.751801,-72.88247,[]
94564,Pinole,CA,37.997509,-122.29208,"[273757, 233359, 233537, 272229, 233404]"
7452,Glen Rock,NJ,40.961109,-74.12576,"[234715, 233309, 251575]"
89409,Gabbs,NV,38.872139000000004,-117.78193999999999,[]
25044,Clear Creek,WV,37.90907,-81.35065999999999,"[251947, 233443, 233493, 233678, 233422, 251909, 234575, 233443]"
78789,Austin,TX,30.326373999999998,-97.77125799999999,"[232626, 232570, 234199, 232745, 234643, 234181, 232546, 232728, 232748]"
20134,Purcellville,VA,39.152187,-77.70257600000001,"[233379, 232474, 232433, 251763, 232459, 247762, 252968, 251263, 233176]"
23071,Hartfield,VA,37.533471,-76.4609,[]
56570,Osage,MN,46.895156,-95.36174,"[233140, 231999, 233144]"
57055,Renner,SD,43.668009000000005,-96.73031999999999,"[233561, 233467]"
11757,Lindenhurst,NY,40.690049,-73.37442,"[234715, 233309]"
66758,Neosho Falls,KS,38.005429,-95.56976,"[250850, 233555, 233418, 233832, 233695, 233552, 233602, 233657, 233621, 233700]"
59318,Brusett,MT,47.426998,-107.44215,[233489]
68784,Wakefield,NE,42.242742,-96.87191,"[233561, 233467]"
61475,Sciota,IL,40.581413,-90.7612,"[233498, 233624, 233597, 233459]"
